match_id,match_date,match_time,home_team_id,home_team_name,away_team_id,away_team_name,league_id,match_day,home_team_score,away_team_score,status,Winner
279230,2019-08-24,16:00:00,112,Parma Calcio 1913,109,Juventus FC,2019,1,0,1,FINISHED,AWAY_TEAM
279228,2019-08-24,18:45:00,99,ACF Fiorentina,113,SSC Napoli,2019,1,3,4,FINISHED,AWAY_TEAM
279231,2019-08-25,16:00:00,115,Udinese Calcio,98,AC Milan,2019,1,1,0,FINISHED,HOME_TEAM
279229,2019-08-25,18:45:00,100,AS Roma,107,Genoa CFC,2019,1,3,3,FINISHED,DRAW
279232,2019-08-25,18:45:00,584,UC Sampdoria,110,SS Lazio,2019,1,0,3,FINISHED,AWAY_TEAM
279233,2019-08-25,18:45:00,104,Cagliari Calcio,449,Brescia Calcio,2019,1,0,1,FINISHED,AWAY_TEAM
279234,2019-08-25,18:45:00,586,Torino FC,471,US Sassuolo Calcio,2019,1,2,1,FINISHED,HOME_TEAM
279235,2019-08-25,18:45:00,450,Hellas Verona FC,103,Bologna FC 1909,2019,1,1,1,FINISHED,DRAW
279236,2019-08-25,18:45:00,1107,SPAL 2013,102,Atalanta BC,2019,1,2,3,FINISHED,AWAY_TEAM
279227,2019-08-26,18:45:00,108,FC Internazionale Milano,5890,US Lecce,2019,1,4,0,FINISHED,HOME_TEAM
279243,2019-08-30,18:45:00,103,Bologna FC 1909,1107,SPAL 2013,2019,2,1,0,FINISHED,HOME_TEAM
279239,2019-08-31,16:00:00,98,AC Milan,449,Brescia Calcio,2019,2,1,0,FINISHED,HOME_TEAM
279237,2019-08-31,18:45:00,109,Juventus FC,113,SSC Napoli,2019,2,4,3,FINISHED,HOME_TEAM
279238,2019-09-01,16:00:00,110,SS Lazio,100,AS Roma,2019,2,1,1,FINISHED,DRAW
279240,2019-09-01,18:45:00,115,Udinese Calcio,112,Parma Calcio 1913,2019,2,1,3,FINISHED,AWAY_TEAM
279241,2019-09-01,18:45:00,102,Atalanta BC,586,Torino FC,2019,2,2,3,FINISHED,AWAY_TEAM
279242,2019-09-01,18:45:00,104,Cagliari Calcio,108,FC Internazionale Milano,2019,2,1,2,FINISHED,AWAY_TEAM
279244,2019-09-01,18:45:00,107,Genoa CFC,99,ACF Fiorentina,2019,2,2,1,FINISHED,HOME_TEAM
279245,2019-09-01,18:45:00,471,US Sassuolo Calcio,584,UC Sampdoria,2019,2,4,1,FINISHED,HOME_TEAM
279246,2019-09-01,18:45:00,5890,US Lecce,450,Hellas Verona FC,2019,2,0,1,FINISHED,AWAY_TEAM
279247,2019-09-15,00:00:00,113,SSC Napoli,584,UC Sampdoria,2019,3,None,None,SCHEDULED,None
279248,2019-09-15,00:00:00,108,FC Internazionale Milano,115,Udinese Calcio,2019,3,None,None,SCHEDULED,None
279249,2019-09-15,00:00:00,99,ACF Fiorentina,109,Juventus FC,2019,3,None,None,SCHEDULED,None
279250,2019-09-15,00:00:00,100,AS Roma,471,US Sassuolo Calcio,2019,3,None,None,SCHEDULED,None
279251,2019-09-15,00:00:00,112,Parma Calcio 1913,104,Cagliari Calcio,2019,3,None,None,SCHEDULED,None
279252,2019-09-15,00:00:00,586,Torino FC,5890,US Lecce,2019,3,None,None,SCHEDULED,None
279253,2019-09-15,00:00:00,107,Genoa CFC,102,Atalanta BC,2019,3,None,None,SCHEDULED,None
279254,2019-09-15,00:00:00,449,Brescia Calcio,103,Bologna FC 1909,2019,3,None,None,SCHEDULED,None
279255,2019-09-15,00:00:00,450,Hellas Verona FC,98,AC Milan,2019,3,None,None,SCHEDULED,None
279256,2019-09-15,00:00:00,1107,SPAL 2013,110,SS Lazio,2019,3,None,None,SCHEDULED,None
279259,2019-09-21,18:45:00,98,AC Milan,108,FC Internazionale Milano,2019,4,None,None,SCHEDULED,None
279257,2019-09-22,00:00:00,109,Juventus FC,450,Hellas Verona FC,2019,4,None,None,SCHEDULED,None
279258,2019-09-22,00:00:00,110,SS Lazio,112,Parma Calcio 1913,2019,4,None,None,SCHEDULED,None
279260,2019-09-22,00:00:00,115,Udinese Calcio,449,Brescia Calcio,2019,4,None,None,SCHEDULED,None
279261,2019-09-22,00:00:00,102,Atalanta BC,99,ACF Fiorentina,2019,4,None,None,SCHEDULED,None
279262,2019-09-22,00:00:00,584,UC Sampdoria,586,Torino FC,2019,4,None,None,SCHEDULED,None
279263,2019-09-22,00:00:00,104,Cagliari Calcio,107,Genoa CFC,2019,4,None,None,SCHEDULED,None
279264,2019-09-22,00:00:00,103,Bologna FC 1909,100,AS Roma,2019,4,None,None,SCHEDULED,None
279265,2019-09-22,00:00:00,471,US Sassuolo Calcio,1107,SPAL 2013,2019,4,None,None,SCHEDULED,None
279266,2019-09-22,00:00:00,5890,US Lecce,113,SSC Napoli,2019,4,None,None,SCHEDULED,None
279267,2019-09-25,00:00:00,113,SSC Napoli,104,Cagliari Calcio,2019,5,None,None,SCHEDULED,None
279268,2019-09-25,00:00:00,108,FC Internazionale Milano,110,SS Lazio,2019,5,None,None,SCHEDULED,None
279269,2019-09-25,00:00:00,99,ACF Fiorentina,584,UC Sampdoria,2019,5,None,None,SCHEDULED,None
279270,2019-09-25,00:00:00,100,AS Roma,102,Atalanta BC,2019,5,None,None,SCHEDULED,None
279271,2019-09-25,00:00:00,112,Parma Calcio 1913,471,US Sassuolo Calcio,2019,5,None,None,SCHEDULED,None
279272,2019-09-25,00:00:00,586,Torino FC,98,AC Milan,2019,5,None,None,SCHEDULED,None
279273,2019-09-25,00:00:00,107,Genoa CFC,103,Bologna FC 1909,2019,5,None,None,SCHEDULED,None
279274,2019-09-25,00:00:00,449,Brescia Calcio,109,Juventus FC,2019,5,None,None,SCHEDULED,None
279275,2019-09-25,00:00:00,450,Hellas Verona FC,115,Udinese Calcio,2019,5,None,None,SCHEDULED,None
279276,2019-09-25,00:00:00,1107,SPAL 2013,5890,US Lecce,2019,5,None,None,SCHEDULED,None
279277,2019-09-29,00:00:00,109,Juventus FC,1107,SPAL 2013,2019,6,None,None,SCHEDULED,None
279278,2019-09-29,00:00:00,113,SSC Napoli,449,Brescia Calcio,2019,6,None,None,SCHEDULED,None
279279,2019-09-29,00:00:00,110,SS Lazio,107,Genoa CFC,2019,6,None,None,SCHEDULED,None
279280,2019-09-29,00:00:00,98,AC Milan,99,ACF Fiorentina,2019,6,None,None,SCHEDULED,None
279281,2019-09-29,00:00:00,112,Parma Calcio 1913,586,Torino FC,2019,6,None,None,SCHEDULED,None
279282,2019-09-29,00:00:00,115,Udinese Calcio,103,Bologna FC 1909,2019,6,None,None,SCHEDULED,None
279283,2019-09-29,00:00:00,584,UC Sampdoria,108,FC Internazionale Milano,2019,6,None,None,SCHEDULED,None
279284,2019-09-29,00:00:00,104,Cagliari Calcio,450,Hellas Verona FC,2019,6,None,None,SCHEDULED,None
279285,2019-09-29,00:00:00,471,US Sassuolo Calcio,102,Atalanta BC,2019,6,None,None,SCHEDULED,None
279286,2019-09-29,00:00:00,5890,US Lecce,100,AS Roma,2019,6,None,None,SCHEDULED,None
279296,2019-10-06,00:00:00,1107,SPAL 2013,112,Parma Calcio 1913,2019,7,None,None,SCHEDULED,None
279287,2019-10-06,00:00:00,108,FC Internazionale Milano,109,Juventus FC,2019,7,None,None,SCHEDULED,None
279288,2019-10-06,00:00:00,99,ACF Fiorentina,115,Udinese Calcio,2019,7,None,None,SCHEDULED,None
279289,2019-10-06,00:00:00,100,AS Roma,104,Cagliari Calcio,2019,7,None,None,SCHEDULED,None
279290,2019-10-06,00:00:00,102,Atalanta BC,5890,US Lecce,2019,7,None,None,SCHEDULED,None
279291,2019-10-06,00:00:00,586,Torino FC,113,SSC Napoli,2019,7,None,None,SCHEDULED,None
279292,2019-10-06,00:00:00,103,Bologna FC 1909,110,SS Lazio,2019,7,None,None,SCHEDULED,None
279293,2019-10-06,00:00:00,107,Genoa CFC,98,AC Milan,2019,7,None,None,SCHEDULED,None
279294,2019-10-06,00:00:00,449,Brescia Calcio,471,US Sassuolo Calcio,2019,7,None,None,SCHEDULED,None
279295,2019-10-06,00:00:00,450,Hellas Verona FC,584,UC Sampdoria,2019,7,None,None,SCHEDULED,None
279297,2019-10-20,00:00:00,109,Juventus FC,103,Bologna FC 1909,2019,8,None,None,SCHEDULED,None
279298,2019-10-20,00:00:00,113,SSC Napoli,450,Hellas Verona FC,2019,8,None,None,SCHEDULED,None
279299,2019-10-20,00:00:00,110,SS Lazio,102,Atalanta BC,2019,8,None,None,SCHEDULED,None
