B365H,B365D,B365A,Result
1.53,4.5,6.5,1
11.0,5.5,1.33,3
1.25,6.5,15.0,3
1.83,3.6,5.0,3
1.7,3.8,5.75,1
1.62,4.0,6.5,2
6.0,4.2,1.62,2
2.4,3.3,3.3,1
1.3,5.75,12.0,1
5.5,4.0,1.7,3
2.0,3.6,4.0,3
2.63,3.2,3.0,3
1.73,3.8,5.5,1
1.36,5.25,9.5,1
1.75,3.8,5.25,1
4.5,3.8,1.85,1
11.0,5.0,1.36,3
2.5,3.25,3.2,1
2.1,3.6,3.75,3
1.33,5.75,10.0,2
11.0,6.0,1.3,3
1.95,3.5,4.33,3
3.9,3.4,2.1,2
1.33,5.5,11.0,1
2.3,3.4,3.4,1
1.91,3.4,4.0,2
1.45,4.5,8.5,1
2.15,3.7,3.5,1
1.25,6.5,15.0,2
2.4,3.1,3.5,2
1.36,5.5,9.0,1
2.7,3.1,3.0,1
3.8,3.5,2.1,3
4.75,3.9,1.8,3
1.85,4.0,4.2,1
1.65,4.0,6.0,3
7.5,4.5,1.5,2
2.3,3.25,3.5,1
2.4,3.25,3.3,3
1.95,3.5,4.5,1
2.15,3.4,3.8,1
3.0,3.3,2.6,3
3.5,3.4,2.25,2
1.29,6.0,13.0,2
2.38,3.25,3.4,1
1.22,7.0,15.0,2
9.0,6.0,1.33,3
2.38,3.25,3.4,2
1.8,4.0,4.5,2
1.36,5.25,10.0,1
2.15,3.25,3.9,2
1.65,4.0,5.75,1
4.1,3.9,1.91,3
1.14,10.0,21.0,1
5.5,3.8,1.73,3
6.0,4.1,1.62,3
2.4,3.3,3.25,3
6.0,4.33,1.6,3
2.8,3.1,2.9,1
1.33,5.5,11.0,1
2.8,3.25,2.5,2
2.75,3.3,2.5,3
8.5,4.75,1.36,3
1.17,7.0,15.0,1
2.88,3.2,2.45,1
2.15,3.2,3.5,2
1.8,3.5,4.5,1
1.2,6.5,13.0,1
1.67,3.6,5.75,3
5.0,3.8,1.67,2
