League-Code    Country     League
BL1     Germany     1. Bundesliga
BL2     Germany     2. Bundesliga
BL3     Germany     3. Bundesliga
DFB     Germany     Dfb-Cup
PL  England     Premiere League
EL1     England     League One
ELC     England     Championship
FAC     England     FA-Cup
SA  Italy   Serie A
SB  Italy   Serie B
PD  Spain   Primera Division
SD  Spain   Segunda Division
CDR     Spain   Copa del Rey
FL1     France  Ligue 1
FL2     France  Ligue 2
DED     Netherlands     Eredivisie
PPL     Portugal    Primeira Liga
GSL     Greece  Super League
CL  Europe  Champions-League
EL  Europe  UEFA-Cup
EC  Europe  European-Cup of Nations
WC  World   World-Cup
